address,name,size,calls,called_by,decompiled
1000:6d7b,FUN_1000_6d7b,74,4,1,1
1000:6df8,FUN_1000_6df8,66,2,1,1
1000:6e3a,FUN_1000_6e3a,51,0,3,1
1000:6e73,FUN_1000_6e73,38,3,1,1
1000:6e99,FUN_1000_6e99,52,0,1,1
1000:6ecd,FUN_1000_6ecd,48,0,2,1
1000:6efd,FUN_1000_6efd,34,0,1,1
1000:6f1f,FUN_1000_6f1f,44,0,3,1
1000:6f4b,FUN_1000_6f4b,10,0,15,1
1000:6f55,FUN_1000_6f55,16,0,1,1
1000:6f65,FUN_1000_6f65,95,1,2,1
1000:6fc4,FUN_1000_6fc4,22,0,3,1
1000:6fda,FUN_1000_6fda,42,4,1,1
1000:7004,FUN_1000_7004,87,6,1,1
1000:705b,FUN_1000_705b,31,1,2,1
1000:707a,FUN_1000_707a,44,0,3,1
1000:70a6,FUN_1000_70a6,22,0,3,1
1000:70bc,FUN_1000_70bc,35,0,1,1
1000:70df,FUN_1000_70df,38,0,3,1
1000:7105,FUN_1000_7105,39,0,1,1
1000:712c,FUN_1000_712c,21,0,2,1
1000:7141,FUN_1000_7141,202,1,1,1
1000:720b,FUN_1000_720b,63,0,1,1
1000:724a,FUN_1000_724a,24,0,21,1
1000:7262,FUN_1000_7262,24,0,2,1
1000:727a,FUN_1000_727a,32,0,11,1
1000:729a,FUN_1000_729a,13,0,3,1
1000:72a7,FUN_1000_72a7,6,0,8,1
1000:72ad,FUN_1000_72ad,20,0,18,1
1000:72c1,FUN_1000_72c1,15,0,8,1
1000:72d0,FUN_1000_72d0,119,0,3,1
1000:73f8,FUN_1000_73f8,21,0,1,1
1000:740d,FUN_1000_740d,44,1,2,1
1000:7455,FUN_1000_7455,13,0,1,1
1000:74c6,FUN_1000_74c6,82,2,11,1
1000:7518,FUN_1000_7518,35,1,3,1
1000:753b,FUN_1000_753b,54,2,1,1
1000:7571,FUN_1000_7571,42,1,1,1
1000:759b,FUN_1000_759b,195,5,8,1
1000:78f3,FUN_1000_78f3,29,3,1,1
1000:7958,FUN_1000_7958,78,1,1,1
1000:79a6,FUN_1000_79a6,79,1,1,1
1000:79f5,FUN_1000_79f5,93,1,1,1
1000:7a52,FUN_1000_7a52,89,1,1,1
1000:7aab,FUN_1000_7aab,40,1,1,1
1000:7ad3,FUN_1000_7ad3,195,1,1,1
1000:7c1c,FUN_1000_7c1c,130,1,1,1
1000:7c9e,FUN_1000_7c9e,330,14,15,1
1000:7de8,FUN_1000_7de8,86,0,1,1
1000:7e3e,FUN_1000_7e3e,362,1,1,1
1000:7fa8,FUN_1000_7fa8,558,1,1,1
1000:81d6,FUN_1000_81d6,549,4,1,1
1000:83fb,FUN_1000_83fb,829,4,1,1
1000:8738,FUN_1000_8738,30,1,8,1
1000:8756,FUN_1000_8756,51,1,1,1
1000:8789,FUN_1000_8789,1009,0,2,1
1000:9167,FUN_1000_9167,56,1,1,1
1000:919f,FUN_1000_919f,75,0,1,1
1000:91ea,FUN_1000_91ea,79,1,1,1
1000:9239,FUN_1000_9239,92,2,3,1
1000:9295,FUN_1000_9295,92,2,1,1
1000:9355,FUN_1000_9355,112,2,4,1
1000:93c5,FUN_1000_93c5,347,1,3,1
1000:9520,FUN_1000_9520,27,1,1,1
1000:953b,FUN_1000_953b,37,1,1,1
1000:9560,FUN_1000_9560,29,0,1,1
1000:95f7,FUN_1000_95f7,59,1,1,1
